date,artist,title,YT link
2023-04-28,Pajujo,Zielony Rower Dziadka,https://youtu.be/jqmzgh_HNZw
2023-04-29,Kuba Blokesz,"Cieszę się, że jestem",https://youtu.be/UajMuw6pESA
2023-04-30,MC Silk,Rap Retrospekcje,https://youtu.be/bZkGwb7pUG0
2023-05-01,Plagiat199,Obłęd,https://youtu.be/r_7mJExKHkc
2023-05-02,Koniec Świata,Oranżada,https://youtu.be/gjbLUxHNWdU
2023-05-03,Gooral x Paprodziad,Introspektrum,https://youtu.be/V11efiHwzdA
2023-05-04,Robert Kasprzycki,Niebo do wynajęcia,https://youtu.be/3Lzz2LkwqG0
2023-05-05,Pezet,Magenta,https://youtu.be/Cb-gaZHYoLs
2023-05-06,Hunter,Pomiędzy niebem a piekłem,https://youtu.be/4vJCb3jfR4U
2023-05-07,Big Cyc,Moherowe berety,https://youtu.be/e2uOrxD8t3A
2023-05-08,Agata Grześkiewicz,Nienawidzę poniedziałków,https://youtu.be/f1tgSIHxfpo
2023-05-09,Coma,Angela,https://youtu.be/Xgs5BIu8HUs
2023-05-10,Szad Akrobata,W poczekalni,https://youtu.be/oBMmS2GNeTM
2023-05-11,Łzy,Narcyz się nazwam,https://youtu.be/o2T3cDoa3jQ
2023-05-12,ShataQS,Przywrócenie,https://youtu.be/JpB6I9wF1rI
2023-05-13,Republika,Mamona,https://youtu.be/-R7qqsT6-T8
2023-05-14,Poparzeni kawą trzy,Kawałek do tańca,https://youtu.be/BpS6xNrnMVc
2023-05-15,Zeus,"Muzyka, miłość, przyjaźń",https://youtu.be/epSgIutoTi0
2023-05-16,Enej,Rahela,https://youtu.be/14f9GrAHnUU
2023-05-17,Dr Misio,Młodzi,https://youtu.be/7vnqnrOuTOs
2023-05-18,Happysad,Hymn 78,https://youtu.be/IKoIF3MeBIQ
2023-05-19,Tabasko,Dzieci kwiaty,https://youtu.be/BDb0l7JE2WY
2023-05-20,Star Guard Muffin,SGM United,https://youtu.be/KiuqbbAWZI4
2023-05-21,The Cuts,Anastazja,https://youtu.be/cOXZuobuOIo
2023-05-22,Elektryczne gitary,Co Ty Tutaj Robisz,https://youtu.be/ZkdvU7nPM5Q
2023-05-23,Molesta & Jamal,Tak miało być,https://youtu.be/y6gta7eQIa8
2023-05-24,Akurat,Pa pa pa,https://youtu.be/9-3fwWIlQuY
2023-05-25,Hesik & Cezet,Sampling,https://youtu.be/MVkcg-TheD8
2023-05-26,Goya ,Mój,https://youtu.be/orw_Kl5QTd0
2023-05-27,Tilt,"Mówię ci, że...",https://youtu.be/8jUmvXlzOmM
2023-05-28,Roszak Show,Na mie je kolej,https://youtu.be/qCdvLFX0xxI
2023-05-29,Fismol,Na co ci to było,https://youtu.be/v_47nd8e1oE
2023-05-30,Łydka Grubasa,Rapapara,https://youtu.be/KfUDsnSpesc
2023-05-31,VavaMuffin,To on,https://youtu.be/t9vqdh_qX_4
2023-06-01,Sanah,Rozwijając Rilkiego,https://youtu.be/HJ2BQaJhRag
2023-06-02,Skaner,Lody na patyku,https://youtu.be/FmjFgt_ggAw
2023-06-03,Eldo,Pożycz mi płuca,https://youtu.be/5YMRj3L8jfM
2023-06-04,Marek Grechuta,W dzikie wino zaplątani,https://youtu.be/LzTxRupQQjE
2023-06-05,Pidżama Porno ,Wódka,https://youtu.be/UALhU1WwWFc
2023-06-06,Slums Attack & O.S.T.R. & Jeru the Damaja,Oddałbym,https://youtu.be/qTZiORJ1ST0
2023-06-07,Kasia Kowalska,Filiżanka Prawdy,https://youtu.be/TqMbWTy-o9s
2023-06-08,Peja & Glaca & Ana Herrero,Pozwól mi żyć (Są chwile),https://youtu.be/Qk4bBJKLyHU
2023-06-09,Grupa Operacyjna,Nie będzie niczego,https://youtu.be/0qHYcCDr5UI
2023-06-10,Farben Lehre,Matura 2000,https://youtu.be/9rjn0vvcIGg
2023-06-11,Aron / Bogdan Cabaj,Piosenka o komarze,https://youtu.be/cmYy7REexxw
2023-06-12,Ewelina Lisowska,Aero-Plan II,https://youtu.be/IUhGAX3iXFc
2023-06-13,Rafał Nalazek,Głos rozsądku,https://youtu.be/HptkEzm7Lls
2023-06-14,Jacuś,Gucci Trip,https://youtu.be/-3c9dZBeBhk
2023-06-15,Mery Spolsky,Bigotka,https://youtu.be/U3HS5EKRrUE
2023-06-16,Słoń,Puzzle,https://youtu.be/RwsVXhVbTv0
2023-06-17,Kwiat Jabłoni,Dziś późno pójdę spać,https://youtu.be/FWDXwrgdm9w
2023-06-18,Plagiat199,Mamo,https://youtu.be/PBdKJAnQamU
2023-06-19,QBIK,Chwilo trwaj,https://youtu.be/5zCoo77r58k
2023-06-20,Rokiczanka,W moim ogródecku,https://youtu.be/hp4endJMu1E
2023-06-21,Pablopavo i Ludziki,Stój głuptasie,https://youtu.be/FlBlVTCCrLs
2023-06-22,Roomieńce,Fortepian,https://youtu.be/FRXLYl1S5Rs
2023-06-23,Eldo,Powinnaś?,https://youtu.be/mOHrB0d5w_4
2023-06-24,Luxtorpeda,Wilki dwa,https://youtu.be/pHyu1yH1kgs
2023-06-25,Sokół,Chcemy być wyżej,https://youtu.be/W22shY3A0Sk
2023-06-26,Happysad,Zanim pójdę,https://youtu.be/iv9Z0dnjMzE
2023-06-27,Łąki Łan,Pola Ar,https://youtu.be/-fGoW73hLLg
2023-06-28,Arka Noego,Ta piosenka jest dla Mamy,https://youtu.be/pamULWD7hzY
2023-06-29,Fenomen,Dlaczego tak?,https://youtu.be/gY51DsLv1HU
2023-06-30,Blenders,"Czuję, że ja muszę",https://youtu.be/K0Bwx_VCqfs
2023-07-01,ShataQS,Muzyka Biznesem,https://youtu.be/T7OCt14ROkE
2023-07-02,Pezet,Refleksje,https://youtu.be/r8jnaZ940d8
2023-07-03,Kasia Kowalska,Domek z kart,https://youtu.be/s7YVjShFX3s
2023-07-04,Czerwone Gitary,Kwiaty we włosach,https://youtu.be/FfXZRqQHNPI
2023-07-05,Kękę x Małpa x HuczuHucz,"Nic, Naprawdę Nic",https://youtu.be/tEvUnlzpcE8
2023-07-06,Ira,Reality,https://youtu.be/vI90HnofH5o
2023-07-07,Kuba Blokesz,A my tutaj,https://youtu.be/ivEGzxkayLI
2023-07-08,Slums Attack,Musisz przetrwać,https://youtu.be/d4r1V9lzVts
2023-07-09,Obywatel G.C.,Tak tak to ja,https://youtu.be/dotUlF0a3Zs
2023-07-10,Agata Grześkiewicz,Chyba byłoby mi źle,https://youtu.be/6Ftrkb5WJLA
2023-07-11,"Hans Solo, Peja, Samer",Tabata,https://youtu.be/Y6OSh4n6CZI
2023-07-12,Pidżama Porno ,Twoja generacja,https://youtu.be/io0LgE7fQ6k
2023-07-13,Koniec Świata,Z własnej woli,https://youtu.be/rHCMZ0Tf7ws
2023-07-14,Zeus & Chiko,WPS,https://youtu.be/sdreFHWpXoA
2023-07-15,Ewa Farna,Cicho,https://youtu.be/IvsqIr0_cCQ
2023-07-16,Coma,Skaczemy,https://youtu.be/glxUr3QBqEs
2023-07-17,O.N.A.,Najtrudniej,https://youtu.be/wLJqrcUK3l4
2023-07-18,Onar & Lerek,Weż to poczuj,https://youtu.be/_e4Fab3Ld6A
2023-07-19,Hunter,Kiedy umieram,https://youtu.be/515nZ-sfhBI
2023-07-20,Elektryczne gitary,Ona jest pedałem,https://youtu.be/tC5vie59hec
2023-07-21,Fenomen,Marzenia,https://youtu.be/lY-beWLD8WU
2023-07-22,Chłopcy z Placu Broni,Kocham wolność,https://youtu.be/nYMiNuJJyYM
2023-07-23,Igoronco,Szukam,https://youtu.be/G7UTylpxfNQ
2023-07-24,Marek Grechuta,Nie dokazuj,https://youtu.be/fOULwRpDAeA
2023-07-25,Chilli,Śmigło,https://youtu.be/dTVpLKQplKY
2023-07-26,Słoń & Mixer,Ania,https://youtu.be/-h-AfsmfJ9o
2023-07-27,Alicja Janosz,Oddycham,https://youtu.be/xJhvDUVqWK4
2023-07-28,T.Love,Gnijący Świat,https://youtu.be/4VeIWEN18P0
2023-07-29,K2 & Buka,1 moment,https://youtu.be/RjzujFoWxY8
2023-07-30,Łydka Grubasa,Wydój mnie,https://youtu.be/SiI18mKmjJk
2023-07-31,Robert Kasprzycki,Naprawdę kocham deszcz,https://youtu.be/-yW4YzzEX9s
2023-08-01,Chada,Żyć aż do bólu,https://youtu.be/s35kfWoHDhM
2023-08-02,Akurat,Hahahaczyk,https://youtu.be/oZG2ghBIbvM
2023-08-03,Queen Margot,Nic Do Powiedzenia,https://youtu.be/y726EgQa9N0
2023-08-04,Ania Sool & WSZ & CNE,Pierwiastek,https://youtu.be/120_FF-WQOk
2023-08-05,Ga-Ga Zielone Żabki,Obudźcie się,https://youtu.be/4q55TVbR7Ms
2023-08-06,Paluch,Bez strachu,https://youtu.be/qQmOK1ap0Lk
2023-08-07,Koniec Świata,Dziewczyna z naprzeciwka,https://youtu.be/IkHQ35riv2c
2023-08-08,Szajka Cezika,Biała flaga,https://youtu.be/mfo-Ztt-moY
2023-08-09,Pork Pores Porkinson,Musimy iść,https://youtu.be/lILr-zDi58M
2023-08-10,Dzioło,Zamyślone Głowy,https://youtu.be/0r7xEf-zVQU
2023-08-11,Power of Trinity,Chodź ze mną,https://youtu.be/0do4WCk8Ye8
2023-08-12,Jeden Osiem L,Jak Zapomnieć,https://youtu.be/qvv7t8Y0iWk
2023-08-13,Dżem,Do Kołyski,https://youtu.be/vdZUK85318w
2023-08-14,Poparzeni Kawą Trzy,Ciągoty,https://youtu.be/LdfzcCnW5vg
2023-08-15,SDNS,Stawiam na to,https://youtu.be/7Fyv82Ojtm4
2023-08-16,Rewizja,Bomba,https://youtu.be/Ma_tzFQxmY4
2023-08-17,Zbigniew Hołdys,Kuba,https://youtu.be/PzGBlKcATnI
2023-08-18,Zeus & Justyna Kuśmierczyk,Brzeg,https://youtu.be/J7avvxhHPc8
2023-08-19,Coma,Spadam,https://youtu.be/JmKLT59cTIc
2023-08-20,Indios Bravos,Małpa,https://youtu.be/cPdhRUtdivA
2023-08-21,Krzysztof Krawczyk,Bo jestes ty,https://youtu.be/KOY_05KwJYk
2023-08-22,O.S.T.R. & Sacha Vee,Spowiedź,https://youtu.be/kHJGrGc6TdI
2023-08-23,Zabili Mi Żółwia,Starzec,https://youtu.be/XIPVldrqEe8
2023-08-24,Baciary,Hej Kawalerowie,https://youtu.be/BHupvgeL6kE
2023-08-25,Happysad,"Jeszcze, jeszcze",https://youtu.be/VLZ4z3H-Thk
2023-08-26,Grupa Operacyjna,Każdy na coś czeka,https://youtu.be/bxaAsbtM6OA
2023-08-27,Lady Pank,Zostawcie Titanica,https://youtu.be/wEEEknecLA4
2023-08-28,Fabijański & Marika,Szlagier,https://youtu.be/FwS5XwcJuaY
2023-08-29,Łydka Grubasa,Żyd,https://youtu.be/9qw5jz8jfhA
2023-08-30,Kaliber 44,Plus I minus,https://youtu.be/mC5zxnK5QRg
2023-08-31,Farben Lehre,Spodnie z GS-u,https://youtu.be/g3g7BXEoz7o
2023-09-01,Mery Spolsky,Wrzesień,https://youtu.be/cbE0km7xJ3A
2023-09-02,Chonabibe,Szczerze Mówiąc,https://youtu.be/rbl8_nLasto
2023-09-03,Arka Noego,GPS,https://youtu.be/GnaXSg11rFM
2023-09-04,Akurat,Lubię Mówić Z Tobą,https://youtu.be/BwBG_H5oYos
2023-09-05,Pezet,Supergirl,https://youtu.be/aCT9VST86ZI
2023-09-06,Iza Królak,Jeszcze jestem,https://youtu.be/qd7LLO_AAig
2023-09-07,Big Cyc,Makumba,https://youtu.be/EAexp0w3H3c
2023-09-08,Poeci Upadłego Pokolenia,Osiedle,https://youtu.be/ucc_z_qacRA
2023-09-09,Coma,Transfuzja,https://youtu.be/_MWIiWsKROA
2023-09-10,Kasia Kowalska,Prowadź mnie,https://youtu.be/03nH7AmuNQU
2023-09-11,Mleko,Kto dogoni psa,https://youtu.be/WkiYl-QcWr8
2023-09-12,ShataQS,Buduję dom,https://youtu.be/GX_PdeARceg
2023-09-13,GrubSon,Przestań się bać,https://youtu.be/mpjKneNAdsA
2023-09-14,Łzy,"Annka, ot tak",https://youtu.be/jnRArp75j4c
2023-09-15,T.Love,Nie nie nie,https://youtu.be/6_oPjyy6pMg
2023-09-16,Zeus,Okna na zachód,https://youtu.be/7Lu1l6sFlLI
2023-09-17,Daria Zawiałow,Malinowy chruśniak,https://youtu.be/ut_igW6OOtE
2023-09-18,Koniec Świata,Granat w plecaku,https://youtu.be/sXrlD9a5AWM
2023-09-19,Paktofonika,Jestem bogiem,https://youtu.be/cq2paBCLSSc
2023-09-20,Hunter,NieRaj,https://youtu.be/zpyUDDLQEEQ
2023-09-21,Bajm,O Tobie,https://youtu.be/L9JMRGqNQvM
2023-09-22,Slums Attack,Głucha Noc,https://youtu.be/1hIK1ObpeF8
2023-09-23,Pidżama Porno ,Bułgarskie centrum hu***y,https://youtu.be/Vy9F9zn7FGU
2023-09-24,Słoń,Szczerze,https://youtu.be/v3cpguutW8U
2023-09-25,Star Guard Muffin,Pamiętaj,https://youtu.be/ZeEWxBNKn6c
2023-09-26,Trzeci wymiar,Skamieniali,https://youtu.be/uju7zWYIXMM
2023-09-27,Jula,Za każdym razem,https://youtu.be/uxo4D3K4988
2023-09-28,Kult,Mars napada,https://youtu.be/kAX60o17blg
2023-09-29,WWO feat Soundkail & Fu,Nie bój się zmiany na lepsze,https://youtu.be/Q-lX5ZOpA-k
2023-09-30,Farben Lehre,Jestem,https://youtu.be/o0Y0XTAPX1A
2023-10-01,Elektryczne gitary,Dzieci wybiegły,https://youtu.be/q4EM1jSg92k
2023-10-02,DKA,Jakby to było,https://youtu.be/3j0bcHT3OTc
2023-10-03,Enej,Ulice,https://youtu.be/xjjOYT32ybQ
2023-10-04,Krzysztof Zalewski,Znikam,https://youtu.be/wLVb6iIghBk
2023-10-05,Hans Solo,Sam,https://youtu.be/oPBXVFfWiNQ
2023-10-06,Hey,Moja i Twoja Nadzieja,https://youtu.be/Z83C8NKry9Q
2023-10-07,Kopruch,Po Prostu Bądź,https://youtu.be/ZacA1bZlsCs
2023-10-08,Robert Kasprzycki,Tylko ty I ja,https://youtu.be/2SAm9A4xPqg
2023-10-09,Daro,Góry,https://youtu.be/Fuz1SxqtxGg
2023-10-10,De Su,Życie cudem jest,https://youtu.be/3LHBg5rgiI4
2023-10-11,Tabasko,Zachłanność,https://youtu.be/r1gmx724UHY
2023-10-12,Marika,Moje serce,https://youtu.be/LPDKq5uO7NU
2023-10-13,Fenomen,Ludzie przeciwko ludziom,https://youtu.be/2O56teHeySE
2023-10-14,Sanah,Nic dwa razy,https://youtu.be/rR001X7JQy8
2023-10-15,Misia Furtak,Mózg,https://youtu.be/qpfucrnXpo4
2023-10-16,Mezo & Lajner & Owal,Pełen pokus,https://youtu.be/iFNQFhHiY84
2023-10-17,Republika,Śmierć na pięć,https://youtu.be/EhI3JDZ1ApE
2023-10-18,Tabu,Jak dobrze Cię widzieć,https://youtu.be/pJfytQEqJ9Q
2023-10-19,Mr Zoob,Mój jest ten kawałek podłogi,https://youtu.be/lqbFWLKjlP4
2023-10-20,Chonabibe,Z Muzyką Być,https://youtu.be/JHpSc8OPlkw
2023-10-21,Plagiat199,Biały kaftanik,https://youtu.be/fCzDfPRjLkM
2023-10-22,O.S.T.R.,Kochana Polsko,https://youtu.be/lpRlEFZ85fY
2023-10-23,Mery Spolsky,Sorry From The Mountain,https://youtu.be/nIvUnPvPkpk
2023-10-24,Zeus,Hipotermia,https://youtu.be/16K6H9b7GDc
2023-10-25,Koniec Świata,Serce w Paryżu,https://youtu.be/5ag9MWsuWtg
2023-10-26,Slums Attack & Kroolik Underwood,Samotność po zmroku,https://youtu.be/Hd7fTrnn64c
2023-10-27,Pidżama Porno ,Egzystencjalny paw,https://youtu.be/-KZTvTDETHs
